app_name: Conversations
pkg_name: eu.siacs.conversations
act_name: eu.siacs.conversations.ui.ManageAccountActivity
act_name: eu.siacs.conversations.ui.ChangePasswordActivity
act_name: eu.siacs.conversations.ui.ShareViaAccountActivity
act_name: eu.siacs.conversations.ui.ContactDetailsActivity
act_name: eu.siacs.conversations.ui.ShortcutActivity
act_name: eu.siacs.conversations.ui.ShowLocationActivity
act_name: eu.siacs.conversations.ui.ChooseContactActivity
act_name: eu.siacs.conversations.ui.RecordingActivity
act_name: eu.siacs.conversations.ui.ShareWithActivity
act_name: eu.siacs.conversations.ui.ConferenceDetailsActivity
act_name: eu.siacs.conversations.ui.PickServerActivity
act_name: eu.siacs.conversations.ui.ScanActivity
act_name: eu.siacs.conversations.ui.ConversationsActivity
act_name: eu.siacs.conversations.ui.StartConversationActivity
act_name: eu.siacs.conversations.ui.ShareLocationActivity
act_name: eu.siacs.conversations.ui.ChooseAccountForProfilePictureActivity
act_name: eu.siacs.conversations.ui.EditAccountActivity
act_name: eu.siacs.conversations.ui.ChannelDiscoveryActivity
act_name: eu.siacs.conversations.ui.MagicCreateActivity
act_name: eu.siacs.conversations.ui.ImportBackupActivity
act_name: eu.siacs.conversations.ui.SettingsActivity
act_name: eu.siacs.conversations.ui.AboutActivity
act_name: eu.siacs.conversations.ui.MediaBrowserActivity
act_name: eu.siacs.conversations.ui.WelcomeActivity
act_name: eu.siacs.conversations.ui.MucUsersActivity
act_name: eu.siacs.conversations.ui.SearchActivity
act_name: eu.siacs.conversations.ui.BlocklistActivity
act_name: eu.siacs.conversations.ui.TrustKeysActivity
act_name: eu.siacs.conversations.ui.ConversationActivity
act_name: eu.siacs.conversations.ui.UriHandlerActivity
act_name: eu.siacs.conversations.ui.PublishProfilePictureActivity
act_name: eu.siacs.conversations.ui.PublishGroupChatProfilePictureActivity
act_name: eu.siacs.conversations.ui.MemorizingActivity
